"filename", "language", "Go", "comment", "blank", "total"
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/about.go", "Go", 40, 4, 8, 52
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/gui.go", "Go", -21, -12, 4, -29
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/info.go", "Go", -1, -44, -1, -46
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/level1.go", "Go", -6, 6, 0, 0
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/level2.go", "Go", -1, 1, 0, 0
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/level3.go", "Go", -1, 1, 0, 0
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/level4.go", "Go", -1, 1, 0, 0
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/level_select.go", "Go", -3, 3, -2, -2
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/main.go", "Go", -10, 2, 3, -5
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/main_menu.go", "Go", -4, 0, 0, -4
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/scene_switch.go", "Go", -18, 2, 0, -16
"/Users/ashnaguha/Desktop/cell-signaling-pathway-simulator/state_machine.go", "Go", 5, 0, 1, 6
"Total", "-", -21, -36, 13, -44
